Altium Designer Pick and Place Locations
C:\Git\Fairwaves\xtrx-hardware\XTRX\rev5\Altium_Proj\Project Outputs\Pick Place\Pick Place for XTRXr5(Var 3_3V_I).txt

========================================================================================================================
File Design Information:

Date:       29.04.19
Time:       21:30
Revision:   1fa29ee30f46513f9401cd992d1cc54bd914b894
Variant:    Var 3_3V_I
Units used: mm

Designator Description                   Comment                              Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation Height(mm) 
L4         "Coil wire wound"             47nH                                 TopLayer    COIL0402-PHILLIPS          8.3250       24.3750      90       0.5000     
L22        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          10.5250      11.3750      90       0.5000     
C6         Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 33.5250      4.5500       360      0.5000     
C34        Capacitor                     0.22uF                               TopLayer    C0402-CIRQ                 5.5000       10.6000      360      0.5000     
C35        Capacitor                     0.22uF                               TopLayer    C0402-CIRQ                 5.5000       11.4000      360      0.5000     
C32        Capacitor                     0.22uF                               TopLayer    C0402-CIRQ                 5.5000       4.2000       360      0.5000     
C33        Capacitor                     0.22uF                               TopLayer    C0402-CIRQ                 5.5000       5.0000       360      0.5000     
C40        Capacitor                     0.22uF                               TopLayer    C0402-CIRQ                 5.5000       13.8000      180      0.5000     
C41        Capacitor                     0.22uF                               TopLayer    C0402-CIRQ                 5.5000       14.6247      180      0.5000     
C38        Capacitor                     0.22uF                               TopLayer    C0402-CIRQ                 5.5000       7.4000       180      0.5000     
C39        Capacitor                     0.22uF                               TopLayer    C0402-CIRQ                 5.5000       8.2000       180      0.5000     
C166       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 13.4000      14.9000      180      0.5000     
L25        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          11.6000      7.4750       90       0.5000     
R26        Resistor                      0                                    TopLayer    R0402-Phillips             20.4750      17.6000      270      0.5000     
X3         "Connector (UMCC)"            ""                                   TopLayer    U_FL                       35.5000      3.0000       270      0.9000     
X4         "Connector (UMCC)"            ""                                   TopLayer    U_FL                       42.7000      3.0000       270      0.9000     
X5         "Connector (UMCC)"            ""                                   TopLayer    U_FL                       6.5000       27.2000      90       0.9000     
X6         "Connector (UMCC)"            ""                                   TopLayer    U_FL                       21.0000      27.2000      90       0.9000     
X1         "Connector (UMCC)"            ""                                   TopLayer    U_FL                       42.2000      27.0000      360      0.9000     
X2         "Connector (UMCC)"            ""                                   TopLayer    U_FL                       33.7000      27.0000      360      0.9000     
C130       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 9.9750       15.7750      360      0.5000     
C131       Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 14.8000      13.6000      270      0.5000     
C132       Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 12.1000      15.1500      270      0.5000     
C167       Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 10.3000      14.9750      180      0.5000     
C168       Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 11.3000      13.8500      180      0.5000     
C125       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 15.8000      13.6000      270      0.5000     
C126       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 16.6000      14.1000      270      0.5000     
C127       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 15.3000      14.9000      180      0.5000     
C128       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 17.9000      16.5000      360      0.5000     
C129       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 16.1000      15.7000      180      0.5000     
C165       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 17.9000      14.9000      360      0.5000     
C149       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 16.6000      17.0000      90       0.5000     
C163       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 14.1250      11.4250      180      0.5000     
C162       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 15.0250      10.1000      270      0.5000     
C151       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 20.0000      14.8000      270      0.5000     
C161       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 17.9000      13.0250      360      0.5000     
C152       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 19.9000      19.8750      360      0.5000     
C134       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 19.9000      19.0750      360      0.5000     
C135       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 17.9000      13.9000      360      0.5000     
C156       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 15.0000      17.0000      90       0.5000     
C140       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 16.7500      9.9000       90       0.5000     
C157       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 12.4750      18.1750      180      0.5000     
C141       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 17.0000      8.1000       270      0.5000     
C147       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 15.8000      17.0000      270      0.5000     
C136       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 16.0000      12.2250      180      0.5000     
C137       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 18.2000      11.1750      360      0.5000     
C153       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 14.2000      15.7000      180      0.5000     
C138       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 20.3750      12.3750      270      0.5000     
C139       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 19.5000      12.1000      270      0.5000     
C142       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 21.4000      14.0000      360      0.5000     
C143       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 17.8000      8.1000       270      0.5000     
C144       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 18.2000      12.2000      360      0.5000     
C145       Capacitor                     0.47uF                               TopLayer    C0402-CIRQ                 16.0000      11.4250      180      0.5000     
C67        Capacitor                     47uF                                 TopLayer    C0603_TALL                 16.8120      2.1250       360      1.0000     
C164       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 17.9000      15.7000      360      0.5000     
C160       Capacitor                     47uF                                 TopLayer    C0603_TALL                 12.9120      12.5750      180      1.0000     
C43        Capacitor                     47uF                                 TopLayer    C0603_TALL                 9.4620       17.7750      360      1.0000     
R58        Resistor                      100                                  TopLayer    R0402-Phillips             13.4000      14.1000      360      0.5000     
R30        Resistor                      4k7                                  TopLayer    R0402-Phillips             23.5250      13.1750      360      0.5000     
R29        Resistor                      4k7                                  TopLayer    R0402-Phillips             17.9000      17.4000      360      0.5000     
R28        Resistor                      330                                  TopLayer    R0402-Phillips             19.2000      13.9000      90       0.5000     
R35        Resistor                      330                                  TopLayer    R0402-Phillips             19.2000      16.2000      90       0.5000     
C133       Capacitor                     47uF                                 TopLayer    C0603_TALL                 21.7000      11.8000      90       1.0000     
C146       Capacitor                     47uF                                 TopLayer    C0603_TALL                 18.6500      10.0000      360      1.0000     
R1         Resistor                      "10k 1%"                             TopLayer    R0402-Phillips             32.0000      17.8250      270      0.5000     
L27        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          26.8250      20.3750      90       0.5000     
R78        Resistor                      0                                    TopLayer    R0402-Phillips             23.5250      12.3250      180      0.5000     
C30        Capacitor                     0.01uF                               TopLayer    C0402-CIRQ                 5.1000       21.1000      270      0.5000     
C31        Capacitor                     0.01uF                               TopLayer    C0402-CIRQ                 5.9000       21.1000      270      0.5000     
C7         Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 25.3000      10.3000      180      0.5000     
C20        Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 14.2250      19.6000      360      0.5000     
C22        Capacitor                     100pF                                TopLayer    C0402-CIRQ                 12.4250      19.6000      360      0.5000     
L6         "Coil wire wound"             47nH                                 TopLayer    COIL0402-PHILLIPS          18.3500      28.1000      90       0.5000     
L70        "Coil wire wound"             10nH                                 TopLayer    COIL0402-PHILLIPS          47.0500      17.2000      180      0.5000     
R43        Resistor                      330                                  TopLayer    R0402-Phillips             7.0750       10.8500      90       0.5000     
R54        Resistor                      330                                  TopLayer    R0402-Phillips             4.5250       23.7250      90       0.5000     
R38        Resistor                      1k                                   TopLayer    R0402-Phillips             8.0500       14.2750      270      0.5000     
R36        Resistor                      3k                                   TopLayer    R0402-Phillips             8.5000       16.0750      90       0.5000     
C37        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 5.1000       16.3750      90       0.5000     
C42        Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 6.5750       19.0250      360      0.5000     
R44        Resistor                      330                                  TopLayer    R0402-Phillips             18.4250      20.6750      270      0.5000     
R11        Resistor                      15                                   TopLayer    R0402-Phillips             35.5250      5.5500       360      0.5000     
X7         "Connector (UMCC)"            ""                                   TopLayer    U_FL                       25.5000      27.2000      90       0.9000     
C118       Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 28.1250      17.8500      180      0.5000     
C119       Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 26.5000      14.1000      90       0.5000     
C120       Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 27.8000      11.4500      180      0.5000     
C121       Capacitor                     1000pF                               TopLayer    C0402-CIRQ                 27.9000      18.6500      180      0.5000     
C77        Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 29.2000      14.8000      180      0.5000     
C117       Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 25.7000      14.5000      270      0.5000     
C91        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 29.5500      18.1000      90       0.5000     
C92        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 31.0000      11.2000      270      0.5000     
C93        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 35.3000      16.4000      360      0.5000     
C94        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 35.0000      18.1750      360      0.5000     
C95        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 37.4000      18.2000      180      0.5000     
C75        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 35.0000      17.3250      360      0.5000     
C88        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 37.1500      17.4000      180      0.5000     
C83        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 36.7500      19.5000      270      0.5000     
C85        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 36.8000      11.3500      90       0.5000     
C86        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 35.3750      12.8750      360      0.5000     
C87        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 35.5000      11.2000      360      0.5000     
C82        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 36.3250      14.2000      90       0.5000     
C116       Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 35.4500      19.0000      180      0.5000     
C96        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 32.8000      17.8750      270      0.5000     
C97        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 32.6000      19.9750      90       0.5000     
C98        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 31.0000      20.6500      90       0.5000     
C101       Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 31.8000      19.9750      90       0.5000     
C102       Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 31.2000      17.9000      270      0.5000     
C103       Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 30.2000      20.5250      90       0.5000     
C104       Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 32.1000      9.6500       360      0.5000     
C106       Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 31.9000      11.2000      90       0.5000     
C109       Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 29.1000      11.1000      90       0.5000     
C111       Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 28.6750      9.8000       180      0.5000     
C122       Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 27.3500      9.3000       90       0.5000     
C112       Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 30.0000      11.1000      90       0.5000     
C113       Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 35.2000      12.0750      180      0.5000     
C114       Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 37.8000      12.6500      360      0.5000     
L29        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          28.5000      20.0750      270      0.5000     
L30        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          30.7595      9.3000       90       0.5000     
L31        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          37.4500      16.4000      180      0.5000     
L32        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          37.6000      19.5750      270      0.5000     
L37        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          32.6000      8.3500       90       0.5000     
L41        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          35.4500      20.1500      180      0.5000     
L44        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          37.1000      21.8250      360      0.5000     
L47        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          31.6000      8.3500       270      0.5000     
L39        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          28.6500      9.0000       180      0.5000     
L40        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          29.9739      9.3000       270      0.5000     
R79        Resistor                      10                                   TopLayer    R0402-Phillips             28.6500      8.1000       360      0.5000     
C172       Capacitor                     2pF                                  TopLayer    C0402-CIRQ                 30.0500      23.6500      360      0.5000     
C175       Capacitor                     470pF                                TopLayer    C0402-CIRQ                 31.3000      22.7500      180      0.5000     
C182       Capacitor                     470pF                                TopLayer    C0402-CIRQ                 31.3000      21.9500      180      0.5000     
C205       Capacitor                     100pF                                TopLayer    C0402-CIRQ                 39.9750      14.5750      90       0.5000     
C206       Capacitor                     100pF                                TopLayer    C0402-CIRQ                 40.7750      14.5750      90       0.5000     
C212       Capacitor                     100pF                                TopLayer    C0402-CIRQ                 46.6000      15.7000      90       0.5000     
C211       Capacitor                     100pF                                TopLayer    C0402-CIRQ                 47.4750      15.7000      90       0.5000     
L68        "Coil wire wound"             10nH                                 TopLayer    COIL0402-PHILLIPS          40.4000      15.9250      360      0.5000     
L57        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          39.3500      21.8250      360      0.5000     
L58        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          36.6000      24.3000      180      0.5000     
T10        Balun                         JA4220-AL                            TopLayer    JA4220-AL                  47.0500      19.9000      180      3.0000     
T7         Balun                         JA4220-AL                            TopLayer    JA4220-AL                  40.3750      18.5750      180      3.0000     
C215       Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 45.2000      14.9000      180      0.5000     
C216       Capacitor                     0.1uF                                TopLayer    C0402-CIRQ                 48.4500      9.8750       90       0.5000     
T4         Balun                         JA4220-AL                            TopLayer    JA4220-AL                  30.0500      26.3750      180      3.0000     
T2         Balun                         JA4220-AL                            TopLayer    JA4220-AL                  38.6500      27.1500      180      3.0000     
LED1       "LED GREEN"                   LTST-C190KGKT                        TopLayer    LED-0603GR                 18.7250      22.9250      270      0.8000     
U13        "Module GPS resceiver"        M10578-A2                            TopLayer    GPS_M10578-Ax              13.3250      24.6000      90       1.8000     
L71        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          45.0000      16.2750      90       0.5000     
C124       Capacitor                     47uF                                 TopLayer    C0603_TALL                 15.3750      7.7880       90       1.0000     
C123       Capacitor                     47uF                                 TopLayer    C0603_TALL                 14.0000      7.8000       90       1.0000     
R37        Resistor                      47k                                  TopLayer    R0402-Phillips             23.8250      14.7750      270      0.5000     
U7         TCVCXO                        TCD4029-26.0M                        TopLayer    TCXO5X3.2                  23.9250      18.4750      90       1.5000     
U12        "IC SPDT switch"              74LVC1G3157FZ4                       TopLayer    X2-DFN1410-6(1.4x1/0.5mm)  23.9000      24.7875      270      0.4000     
C16        Capacitor                     1uF                                  TopLayer    C0402-CIRQ                 6.1000       22.8500      360      0.5000     
Shield1    "Screening shield frame"      "Screening shield frame BMI-S-202-F" TopLayer    BMI-S-202-F                41.8500      14.8500      0        3.6000     
L48        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          26.4500      8.8250       90       0.5000     
L51        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          38.2750      14.2500      360      0.5000     
L52        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          38.5000      13.4500      360      0.5000     
C54        Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 26.0250      5.1000       90       0.5000     
C55        Capacitor                     4.7uF                                TopLayer    C0402-CIRQ                 26.0250      3.3000       270      0.5000     
L38        "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          37.6250      15.2250      180      0.5000     
R67        Resistor                      1k6                                  TopLayer    R0402-Phillips             32.0250      6.4000       360      0.5000     
U21        "IC dual LDO extra low noise" TPS7A8801RTJT                        TopLayer    QFN-20(4X4/0.5)TI          29.0500      4.2000       360      0.8000     
L7         "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          8.2000       6.1000       180      0.5000     
L2         "Ferrite bead EMIFIL"         220                                  TopLayer    BEAD0402-PHILLIPS          7.7250       21.3000      180      0.5000     
R6         Resistor                      0                                    TopLayer    R0402-Phillips             9.0000       11.1750      180      0.5000     
R7         Resistor                      20k                                  TopLayer    R0402-Phillips             8.0500       12.4750      270      0.5000     
X11        "Connector microUSB-B"        USB-microB                           TopLayer    USB-microB                 10.0000      3.2750       360      2.8000     
C217       Capacitor                     100pF                                TopLayer    C0402-CIRQ                 44.2000      16.2750      270      0.5000     
C1         Capacitor                     1uF                                  TopLayer    C0402-cirq                 16.7250      18.8750      360      0.5000     
U9         IC                            LP5900TLX-3.0/NOPB                   TopLayer    BGA_DSBGA-4                7.6500       22.7750      90       0.6000     
