Altium Designer Pick and Place Locations
C:\Git\Fairwaves\xtrx-hardware\XTRX\rev5\Altium_Proj\Project Outputs\Pick Place\Pick Place for XTRXr5(Var 3_3V_I).txt

========================================================================================================================
File Design Information:

Date:       29.04.19
Time:       21:30
Revision:   1fa29ee30f46513f9401cd992d1cc54bd914b894
Variant:    Var 3_3V_I
Units used: mm

Designator Description                   Comment                              Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation Height(mm) 
C204       Capacitor                     10pF                                 BottomLayer C0402-CIRQ                 41.4228      7.9603       360      0.5000     
C203       Capacitor                     10pF                                 BottomLayer C0402-CIRQ                 41.4228      8.7603       360      0.5000     
R14        Resistor                      4k7                                  BottomLayer R0402-Phillips             23.0500      7.7250       180      0.5000     
L28        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          28.6000      22.9000      270      0.5000     
C90        Capacitor                     1uF                                  BottomLayer C0402-CIRQ                 29.4000      21.9000      270      0.5000     
C66        Capacitor                     47uF                                 BottomLayer C0603_TALL                 17.0130      4.4250       180      1.0000     
C68        Capacitor                     47uF                                 BottomLayer C0603_TALL                 8.2370       4.4250       360      1.0000     
L54        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          9.8750       18.1500      360      0.5000     
R15        Resistor                      47                                   BottomLayer R0402-Phillips             28.8000      24.6000      180      0.5000     
L1         "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          19.4750      23.3250      180      0.5000     
R34        Resistor                      3k3                                  BottomLayer R0402-Phillips             19.0750      24.9250      180      0.5000     
U1         "Artix-7 FPGA"                XC7A35T-2CPG236I                     BottomLayer CPG236                     16.3640      14.8000      315      1.3800     
C150       Capacitor                     0.47uF                               BottomLayer C0402-CIRQ                 14.3036      21.7965      135      0.5000     
C155       Capacitor                     0.47uF                               BottomLayer C0402-CIRQ                 12.4750      20.0750      90       0.5000     
C158       Capacitor                     0.47uF                               BottomLayer C0402-CIRQ                 11.6750      20.0750      90       0.5000     
C148       Capacitor                     4.7uF                                BottomLayer C0402-CIRQ                 13.7465      21.2286      135      0.5000     
C154       Capacitor                     4.7uF                                BottomLayer C0402-CIRQ                 10.8000      20.3000      270      0.5000     
R22        Resistor                      15                                   BottomLayer R0402-Phillips             12.8500      23.4000      270      0.5000     
R20        Resistor                      15                                   BottomLayer R0402-Phillips             14.5000      25.7250      270      0.5000     
R23        Resistor                      15                                   BottomLayer R0402-Phillips             10.3250      25.2000      180      0.5000     
R21        Resistor                      15                                   BottomLayer R0402-Phillips             14.5000      28.1000      270      0.5000     
R24        Resistor                      10k                                  BottomLayer R0402-Phillips             12.1000      21.8500      90       0.5000     
R27        Resistor                      10k                                  BottomLayer R0402-Phillips             10.3250      24.4000      360      0.5000     
R33        Resistor                      10k                                  BottomLayer R0402-Phillips             11.5500      23.6000      180      0.5000     
R25        Resistor                      4k7                                  BottomLayer R0402-Phillips             21.3344      24.9714      180      0.5000     
C171       Capacitor                     2pF                                  BottomLayer C0402-CIRQ                 38.6500      26.0250      180      0.5000     
C69        Capacitor                     47uF                                 BottomLayer C0603_TALL                 8.2370       3.0250       180      1.0000     
L12        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          44.1000      1.4000       90       0.5000     
R8         Resistor                      10k                                  BottomLayer R0402-Phillips             7.8250       11.8750      360      0.5000     
R59        Resistor                      47k                                  BottomLayer R0402-Phillips             8.6750       19.3500      360      0.5000     
C23        Capacitor                     10pF                                 BottomLayer C0402-CIRQ                 18.9750      27.7250      180      0.5000     
ESD1       "ESD diod unidirectional"     SESD0402S-005-054                    BottomLayer SESD0402-Phillips          26.1000      26.6000      360      4.0000     
C18        Capacitor                     0.1uF                                BottomLayer C0402-CIRQ                 23.9500      23.0000      90       0.5000     
C11        Capacitor                     1uF                                  BottomLayer C0402-CIRQ                 19.9750      22.5000      180      0.5000     
C26        Capacitor                     1000pF                               BottomLayer C0402-CIRQ                 23.9500      25.0750      90       0.5000     
C49        Capacitor                     10uF                                 BottomLayer C0603-Phillips             10.3500      2.4000       270      0.8000     
C50        Capacitor                     10uF                                 BottomLayer C0603-Phillips             25.4250      5.5000       90       0.8000     
C51        Capacitor                     10uF                                 BottomLayer C0603-Phillips             25.4250      2.9000       270      0.8000     
C46        Capacitor                     10uF                                 BottomLayer C0603-Phillips             14.9000      5.0500       90       0.8000     
C48        Capacitor                     10uF                                 BottomLayer C0603-Phillips             10.3500      5.0750       90       0.8000     
C47        Capacitor                     10uF                                 BottomLayer C0603-Phillips             14.9000      2.4000       270      0.8000     
R10        Resistor                      15                                   BottomLayer R0402-Phillips             18.3750      7.8500       180      0.5000     
R17        Resistor                      15                                   BottomLayer R0402-Phillips             25.1750      8.1750       360      0.5000     
R18        Resistor                      15                                   BottomLayer R0402-Phillips             23.0750      6.9250       360      0.5000     
R12        Resistor                      4k7                                  BottomLayer R0402-Phillips             21.2000      8.2500       360      0.5000     
C74        Capacitor                     1uF                                  BottomLayer C0402-CIRQ                 41.2250      14.2750      180      0.5000     
C76        Capacitor                     1uF                                  BottomLayer C0402-CIRQ                 39.2000      17.3500      180      0.5000     
C84        Capacitor                     1uF                                  BottomLayer C0402-CIRQ                 39.2000      16.5250      180      0.5000     
C99        Capacitor                     1uF                                  BottomLayer C0402-CIRQ                 32.1000      21.9250      90       0.5000     
C100       Capacitor                     1uF                                  BottomLayer C0402-CIRQ                 31.3000      21.9250      90       0.5000     
C105       Capacitor                     1uF                                  BottomLayer C0402-CIRQ                 29.6000      7.7000       270      0.5000     
C107       Capacitor                     1uF                                  BottomLayer C0402-CIRQ                 30.5000      7.7000       270      0.5000     
C108       Capacitor                     1uF                                  BottomLayer C0402-CIRQ                 32.2000      7.7000       270      0.5000     
C110       Capacitor                     1uF                                  BottomLayer C0402-CIRQ                 28.2250      8.2000       180      0.5000     
C115       Capacitor                     1uF                                  BottomLayer C0402-CIRQ                 39.1000      12.0500      360      0.5000     
L35        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          39.3750      15.5500      180      0.5000     
L36        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          41.2250      16.0500      180      0.5000     
L43        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          31.9000      24.5750      90       0.5000     
L45        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          30.5000      21.9250      90       0.5000     
R75        Resistor                      10                                   BottomLayer R0402-Phillips             41.2250      15.1000      180      0.5000     
C10        Capacitor                     0.1uF                                BottomLayer C0402-CIRQ                 26.8500      23.5000      360      0.5000     
C178       Capacitor                     470pF                                BottomLayer C0402-CIRQ                 39.0500      24.6750      90       0.5000     
C179       Capacitor                     470pF                                BottomLayer C0402-CIRQ                 38.2500      24.6750      90       0.5000     
C189       Capacitor                     100pF                                BottomLayer C0402-CIRQ                 40.9500      22.5250      360      0.5000     
C190       Capacitor                     100pF                                BottomLayer C0402-CIRQ                 33.5500      23.6000      180      0.5000     
C183       Capacitor                     0.1uF                                BottomLayer C0402-CIRQ                 40.1500      24.6750      90       0.5000     
C184       Capacitor                     0.1uF                                BottomLayer C0402-CIRQ                 34.3750      25.9750      180      0.5000     
L59        "Coil wire wound"             100nH                                BottomLayer COIL0402-Phillips          39.1500      22.5250      180      0.5000     
L60        "Coil wire wound"             100nH                                BottomLayer COIL0402-Phillips          33.4250      22.0000      180      0.5000     
L61        "Coil wire wound"             100nH                                BottomLayer COIL0402-Phillips          39.6500      23.3250      180      0.5000     
L62        "Coil wire wound"             100nH                                BottomLayer COIL0402-Phillips          33.4250      22.8000      180      0.5000     
R2         Resistor                      15                                   BottomLayer R0402-Phillips             19.8000      9.4500       360      0.5000     
R3         Resistor                      15                                   BottomLayer R0402-Phillips             20.0250      20.2500      180      0.5000     
R4         Resistor                      100                                  BottomLayer R0402-Phillips             17.7750      22.2000      270      0.5000     
R5         Resistor                      100                                  BottomLayer R0402-Phillips             21.3960      21.9960      90       0.5000     
R61        Resistor                      3k3                                  BottomLayer R0402-Phillips             16.3500      23.4750      180      0.5000     
R65        Resistor                      3k3                                  BottomLayer R0402-Phillips             16.3500      22.6750      180      0.5000     
L63        "Coil wire wound"             10nH                                 BottomLayer COIL0402-PHILLIPS          40.3000      19.9250      270      0.5000     
L64        "Coil wire wound"             10nH                                 BottomLayer COIL0402-PHILLIPS          35.9000      24.3000      360      0.5000     
C177       Capacitor                     10pF                                 BottomLayer C0402-CIRQ                 41.6500      19.1250      180      0.5000     
C191       Capacitor                     0.1uF                                BottomLayer C0402-CIRQ                 41.3500      21.6750      360      0.5000     
C193       Capacitor                     10pF                                 BottomLayer C0402-CIRQ                 41.6000      20.8750      180      0.5000     
C192       Capacitor                     0.1uF                                BottomLayer C0402-CIRQ                 34.1000      24.4250      180      0.5000     
C194       Capacitor                     10pF                                 BottomLayer C0402-CIRQ                 34.3830      25.1750      360      0.5000     
C180       Capacitor                     10pF                                 BottomLayer C0402-CIRQ                 35.7500      25.6000      270      0.5000     
C181       Capacitor                     10pF                                 BottomLayer C0402-CIRQ                 36.5500      25.6000      270      0.5000     
L65        "Coil wire wound"             10nH                                 BottomLayer COIL0402-PHILLIPS          39.5000      20.4250      270      0.5000     
L66        "Coil wire wound"             10nH                                 BottomLayer COIL0402-PHILLIPS          35.3500      23.4500      360      0.5000     
T1         "Balun bal-unbal"             3600BL14M050                         BottomLayer Balun_1.6x0.8x0.6mm        43.5750      21.6500      90       0.6000     
T3         "Balun bal-unbal"             3600BL14M050                         BottomLayer Balun_1.6x0.8x0.6mm        34.8500      28.3750      180      0.6000     
T6         "Balun bal-unbal"             3600BL14M050                         BottomLayer Balun_1.6x0.8x0.6mm        44.2728      8.3603       360      0.6000     
T9         "Balun bal-unbal"             3600BL14M050                         BottomLayer Balun_1.6x0.8x0.6mm        43.6002      10.4126      360      0.6000     
C25        Capacitor                     10pF                                 BottomLayer C0402-CIRQ                 19.0750      25.7250      180      0.5000     
L72        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          49.0000      9.2250       270      0.5000     
U6         "IC Thermosensor"             TMP108AIYFF                          BottomLayer BGA_WCSP6                  26.1750      22.3000      180      0.6250     
L46        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          31.6000      23.2250      360      0.5000     
L49        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          31.4000      7.7000       270      0.5000     
L53        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-PHILLIPS          39.1000      12.9000      360      0.5000     
C56        Capacitor                     4.7uF                                BottomLayer C0402-CIRQ                 44.1000      5.1000       270      0.5000     
C57        Capacitor                     4.7uF                                BottomLayer C0402-CIRQ                 44.1000      3.2000       270      0.5000     
